State,Electors,Spread 2016,Spread 2012,Clinton,Trump,Obama,Romney,Forecasts 2016,Spread 2008,Forecast 2020 (static),
Alabama,9,"-27,7","-22,2",0,9,0,9,,,-19.7,
Alaska,3,"-14,7",-14,0,3,0,3,-6,,-7.5,
Arizona,11,"-3,5",-9,0,11,0,11,-4,,3.2,
Arkansas,6,"-24,9","-23,7",0,6,0,6,"-20,6",,-23.3,
California,55,30,"23,1",55,0,55,0,"22,3",,29.7,
Colorado,9,"4,9","5,4",9,0,9,0,"2,9",,9.5,
Connecticut,7,"3,7","17,3",7,0,7,0,"9,3",,18,
Delaware,3,"11,4","18,6",3,0,3,0,"15,5",,20,
D.C.,3,"86,8","83,6",3,0,3,0,,,82.7,
Florida,29,"-1,2","0,9",0,29,29,0,"-0,2",,1.2,
Georgia,16,"-5,1","-7,8",0,16,0,16,"-4,8",,0.8,
Hawaii,4,"32,2","42,8",3,0,3,0,,,31,
Idaho,4,"-31,7","31,9",0,4,4,0,-24,"-25,4",-19.9,
Illinois,20,"16,8","16,9",20,0,20,0,"11,5",,14,
Indiana,11,-19,"-10,2",0,11,0,11,"-10,7",,-9.1,
Iowa,6,"-9,4","5,8",0,6,6,0,-3,,0.2,
Kansas,6,"-20,5","-21,7",0,6,0,6,"-13,3","-14,9",-10.3,
Kentucky,8,"-19,8","-22,7",0,8,0,8,-15,"-16,2",-15.6,
Louisiana,8,"-19,7","-17,2",0,8,0,8,"-13,25","-18,7",-19.8,
Maine,2,"2,9","15,2",2,0,2,0,"4,5","17,3",13,
Maine CD1,1,"14,5","21,4",1,0,1,0,9,"22,8",22.4,
Maine CD2,1,"-10,4","8,5",0,1,1,0,"-0,5","11,2",3,
Maryland,10,"26,4","26,1",10,0,10,0,"33,7",,29.8,
Massachusetts,11,"27,3","23,1",11,0,11,0,"29,4",,36.9,
Michigan,16,"-0,3","9,5",0,16,16,0,"3,4",,8.8,
Minnesota,10,"1,5","7,7",10,0,10,0,"6,2","10,3",8.5,
Mississippi,6,"-17,8","-11,5",0,6,0,6,-9,,-16.1,
Missouri,10,"-18,5","-9,4",0,10,0,10,-11,"-0,1",-7.2,
Montana,3,"-20,2","-13,7",0,3,0,3,-15,"-2,2",-5.1,
Nebraska,4,-25,"-21,8",0,5,0,5,-27,"-14,9",-20,
Nebraska CD2,1,"-3,4",,,,,,,,7,
Nevada,6,"2,4","6,7",6,0,6,0,"-0,8",,5.9,
New Hampshire,4,"0,3","5,6",4,0,4,0,"0,6","9,6",11.2,
New Jersey,14,14,"17,7",14,0,14,0,"11,6",,22.4,
New Mexico,5,"8,3","10,1",5,0,5,0,5,,11.2,
New York,29,"22,5","28,1",29,0,29,0,19,,30.6,
North Carolina,15,"-3,6",-2,0,15,0,15,-1,"0,3",2.5,
North Dakota,3,"-35,8","-19,6",0,3,0,3,,,-18.5,
Ohio,18,"-8,1",3,0,18,18,0,"-3,5",,-0.9,
Oklahoma,7,"-36,4","-33,5",0,7,0,7,"-19,5",,-22.8,
Oregon,7,"11,2","12,1",7,0,7,0,8,,19.6,
Pennsylvania,20,"-0,7","5,4",0,20,20,0,"1,9",,5.2,
Rhode Island,4,"15,5","27,4",4,0,4,0,"11,5",,31.1,
South Carolina,9,"-14,2","-10,5",0,9,0,9,"-8,3",,-7.8,
South Dakota,3,"-29,8",-18,0,3,0,3,"-10,6",,-14.3,
Tennessee,11,-26,"-20,4",0,11,0,11,"-11,5",,-13.1,
Texas,38,-9,"-15,8",0,36,0,36,-12,"-11,8",-1.3,
Utah,6,"-17,9",-48,0,6,0,6,"-10,4","-28,2",-10.4,
Vermont,3,"26,4","35,6",3,0,3,0,"24,8",,36.2,
Virginia,13,"5,4","3,9",13,0,13,0,5,,11.9,
Washington,12,"15,7","14,9",8,0,8,0,"14,3",,23.3,
West Virginia,5,"-41,7","-26,8",0,5,0,5,"-22,5",,-26.9,
Wisconsin,10,"-0,7","6,9",0,10,10,0,"6,5",,8.6,
Wyoming,3,"-46,3","-40,8",0,3,0,3,,,-32.3,